Entry	Entry Name	Length	Cofactor	Catalytic activity	Binding site	Annotation	EC number	Protein existence	Gene Names (ordered locus)	Gene Names (primary)
P00360	G3P1_YEAST	332		CATALYTIC ACTIVITY: Reaction=D-glyceraldehyde 3-phosphate + NAD(+) + phosphate = (2R)-3-phospho-glyceroyl phosphate + H(+) + NADH; Xref=Rhea:RHEA:10300, ChEBI:CHEBI:15378, ChEBI:CHEBI:43474, ChEBI:CHEBI:57540, ChEBI:CHEBI:57604, ChEBI:CHEBI:57945, ChEBI:CHEBI:59776; EC=1.2.1.12; Evidence={ECO:0000255|PROSITE-ProRule:PRU10009};	BINDING 11..12; /ligand="NAD(+)"; /ligand_id="ChEBI:CHEBI:57540"; /evidence="ECO:0000250"; BINDING 33; /ligand="NAD(+)"; /ligand_id="ChEBI:CHEBI:57540"; /evidence="ECO:0000250"; BINDING 78; /ligand="NAD(+)"; /ligand_id="ChEBI:CHEBI:57540"; /evidence="ECO:0000250"; BINDING 149..151; /ligand="D-glyceraldehyde 3-phosphate"; /ligand_id="ChEBI:CHEBI:59776"; /evidence="ECO:0000250"; BINDING 180; /ligand="D-glyceraldehyde 3-phosphate"; /ligand_id="ChEBI:CHEBI:59776"; /evidence="ECO:0000250"; BINDING 209..210; /ligand="D-glyceraldehyde 3-phosphate"; /ligand_id="ChEBI:CHEBI:59776"; /evidence="ECO:0000250"; BINDING 232; /ligand="D-glyceraldehyde 3-phosphate"; /ligand_id="ChEBI:CHEBI:59776"; /evidence="ECO:0000250"; BINDING 314; /ligand="NAD(+)"; /ligand_id="ChEBI:CHEBI:57540"; /evidence="ECO:0000250"	5.0	1.2.1.12	Evidence at protein level	YJL052W	TDH1
P00401	COX1_YEAST	534	COFACTOR: Name=heme; Xref=ChEBI:CHEBI:30413; Evidence={ECO:0000269|PubMed:30598554, ECO:0000269|PubMed:30598556}; Note=Binds 2 heme A groups non-covalently per subunit. {ECO:0000269|PubMed:30598554, ECO:0000269|PubMed:30598556}; COFACTOR: Name=Cu cation; Xref=ChEBI:CHEBI:23378; Note=Binds a copper B center. {ECO:0000269|PubMed:30598554, ECO:0000269|PubMed:30598556};	CATALYTIC ACTIVITY: Reaction=4 Fe(II)-[cytochrome c] + 8 H(+)(in) + O2 = 4 Fe(III)-[cytochrome c] + 4 H(+)(out) + 2 H2O; Xref=Rhea:RHEA:11436, Rhea:RHEA-COMP:10350, Rhea:RHEA-COMP:14399, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:29033, ChEBI:CHEBI:29034; EC=7.1.1.9; Evidence={ECO:0000269|PubMed:30598554}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:11437; Evidence={ECO:0000269|PubMed:30598554};	BINDING 39; /ligand="Ca(2+)"; /ligand_id="ChEBI:CHEBI:29108"; /evidence="ECO:0000269|PubMed:30598554, ECO:0000269|PubMed:30598556"; BINDING 42; /ligand="Ca(2+)"; /ligand_id="ChEBI:CHEBI:29108"; /evidence="ECO:0000269|PubMed:30598554, ECO:0000269|PubMed:30598556"; BINDING 44; /ligand="Ca(2+)"; /ligand_id="ChEBI:CHEBI:29108"; /evidence="ECO:0000269|PubMed:30598554, ECO:0000269|PubMed:30598556"; BINDING 62; /ligand="Fe(II)-heme a"; /ligand_id="ChEBI:CHEBI:61715"; /ligand_note="low-spin"; /ligand_part="Fe"; /ligand_part_id="ChEBI:CHEBI:18248"; /note="axial binding residue"; /evidence="ECO:0000269|PubMed:30598554, ECO:0000269|PubMed:30598556"; BINDING 241; /ligand="Cu cation"; /ligand_id="ChEBI:CHEBI:23378"; /ligand_label="B"; /evidence="ECO:0000269|PubMed:30598554, ECO:0000269|PubMed:30598556"; BINDING 245; /ligand="O2"; /ligand_id="ChEBI:CHEBI:15379"; /evidence="ECO:0000250|UniProtKB:P00396"; BINDING 290; /ligand="Cu cation"; /ligand_id="ChEBI:CHEBI:23378"; /ligand_label="B"; /evidence="ECO:0000269|PubMed:30598554, ECO:0000269|PubMed:30598556"; BINDING 291; /ligand="Cu cation"; /ligand_id="ChEBI:CHEBI:23378"; /ligand_label="B"; /evidence="ECO:0000269|PubMed:30598554, ECO:0000269|PubMed:30598556"; BINDING 368; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /ligand_note="ligand shared with COX2"; /evidence="ECO:0000269|PubMed:30598554, ECO:0000269|PubMed:30598556"; BINDING 369; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /ligand_note="ligand shared with COX2"; /evidence="ECO:0000269|PubMed:30598554, ECO:0000269|PubMed:30598556"; BINDING 376; /ligand="heme a3"; /ligand_id="ChEBI:CHEBI:83282"; /ligand_note="high-spin"; /ligand_part="Fe"; /ligand_part_id="ChEBI:CHEBI:18248"; /note="axial binding residue"; /evidence="ECO:0000269|PubMed:30598554"; BINDING 378; /ligand="Fe(II)-heme a"; /ligand_id="ChEBI:CHEBI:61715"; /ligand_note="low-spin"; /ligand_part="Fe"; /ligand_part_id="ChEBI:CHEBI:18248"; /note="axial binding residue"; /evidence="ECO:0000269|PubMed:30598554, ECO:0000269|PubMed:30598556"; BINDING 441; /ligand="Ca(2+)"; /ligand_id="ChEBI:CHEBI:29108"; /evidence="ECO:0000269|PubMed:30598554, ECO:0000269|PubMed:30598556"	5.0	7.1.1.9	Evidence at protein level	Q0045	COX1
P00410	COX2_YEAST	251	COFACTOR: Name=Cu cation; Xref=ChEBI:CHEBI:23378; Evidence={ECO:0000269|PubMed:30598554, ECO:0000269|PubMed:30598556}; Note=Binds a dinuclear copper A center per subunit. {ECO:0000269|PubMed:30598554, ECO:0000269|PubMed:30598556};	CATALYTIC ACTIVITY: Reaction=4 Fe(II)-[cytochrome c] + 8 H(+)(in) + O2 = 4 Fe(III)-[cytochrome c] + 4 H(+)(out) + 2 H2O; Xref=Rhea:RHEA:11436, Rhea:RHEA-COMP:10350, Rhea:RHEA-COMP:14399, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:29033, ChEBI:CHEBI:29034; EC=7.1.1.9; Evidence={ECO:0000269|PubMed:30598554}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:11437; Evidence={ECO:0000269|PubMed:30598554};	BINDING 186; /ligand="Cu cation"; /ligand_id="ChEBI:CHEBI:23378"; /ligand_label="A1"; /evidence="ECO:0000269|PubMed:30598554"; BINDING 221; /ligand="Cu cation"; /ligand_id="ChEBI:CHEBI:23378"; /ligand_label="A1"; /evidence="ECO:0000269|PubMed:30598554"; BINDING 221; /ligand="Cu cation"; /ligand_id="ChEBI:CHEBI:23378"; /ligand_label="A2"; /evidence="ECO:0000269|PubMed:30598554"; BINDING 223; /ligand="Cu cation"; /ligand_id="ChEBI:CHEBI:23378"; /ligand_label="A2"; /evidence="ECO:0000269|PubMed:30598554"; BINDING 223; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /ligand_note="ligand shared with COX1"; /evidence="ECO:0000269|PubMed:30598554, ECO:0000269|PubMed:30598556"; BINDING 225; /ligand="Cu cation"; /ligand_id="ChEBI:CHEBI:23378"; /ligand_label="A1"; /evidence="ECO:0000269|PubMed:30598554"; BINDING 225; /ligand="Cu cation"; /ligand_id="ChEBI:CHEBI:23378"; /ligand_label="A2"; /evidence="ECO:0000269|PubMed:30598554"; BINDING 229; /ligand="Cu cation"; /ligand_id="ChEBI:CHEBI:23378"; /ligand_label="A2"; /evidence="ECO:0000269|PubMed:30598554, ECO:0000269|PubMed:30598556"; BINDING 232; /ligand="Cu cation"; /ligand_id="ChEBI:CHEBI:23378"; /ligand_label="A1"; /evidence="ECO:0000269|PubMed:30598554"	5.0	7.1.1.9	Evidence at protein level	Q0250	COX2
P00420	COX3_YEAST	269		CATALYTIC ACTIVITY: Reaction=4 Fe(II)-[cytochrome c] + 8 H(+)(in) + O2 = 4 Fe(III)-[cytochrome c] + 4 H(+)(out) + 2 H2O; Xref=Rhea:RHEA:11436, Rhea:RHEA-COMP:10350, Rhea:RHEA-COMP:14399, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:29033, ChEBI:CHEBI:29034; EC=7.1.1.9; Evidence={ECO:0000269|PubMed:30598554}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:11437; Evidence={ECO:0000269|PubMed:30598554};		5.0	7.1.1.9	Evidence at protein level	Q0275	COX3
P00424	COX5A_YEAST	153				5.0		Evidence at protein level	YNL052W	COX5A
P00431	CCPR_YEAST	361	COFACTOR: Name=heme b; Xref=ChEBI:CHEBI:60344; Note=Binds 1 heme b (iron(II)-protoporphyrin IX) group per subunit.;	CATALYTIC ACTIVITY: Reaction=2 Fe(II)-[cytochrome c] + 2 H(+) + H2O2 = 2 Fe(III)-[cytochrome c] + 2 H2O; Xref=Rhea:RHEA:16581, Rhea:RHEA-COMP:10350, Rhea:RHEA-COMP:14399, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:16240, ChEBI:CHEBI:29033, ChEBI:CHEBI:29034; EC=1.11.1.5;	BINDING 242; /ligand="heme b"; /ligand_id="ChEBI:CHEBI:60344"; /ligand_part="Fe"; /ligand_part_id="ChEBI:CHEBI:18248"; /note="axial binding residue"	5.0	1.11.1.5	Evidence at protein level	YKR066C	CCP1
P00445	SODC_YEAST	154	COFACTOR: Name=Cu cation; Xref=ChEBI:CHEBI:23378; Evidence={ECO:0000269|PubMed:10026301, ECO:0000269|PubMed:8652572}; Note=Binds 1 copper ion per subunit. {ECO:0000269|PubMed:10026301, ECO:0000269|PubMed:8652572}; COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Evidence={ECO:0000269|PubMed:10026301, ECO:0000269|PubMed:11524675}; Note=Binds 1 zinc ion per subunit. {ECO:0000269|PubMed:10026301, ECO:0000269|PubMed:11524675};	CATALYTIC ACTIVITY: Reaction=2 H(+) + 2 superoxide = H2O2 + O2; Xref=Rhea:RHEA:20696, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:16240, ChEBI:CHEBI:18421; EC=1.15.1.1; Evidence={ECO:0000250|UniProtKB:P85978};	BINDING 43; /ligand="Zn(2+)"; /ligand_id="ChEBI:CHEBI:29105"; /ligand_label="2"; /ligand_note="ligand shared with CCS1"; /note="in apo form"; /evidence="ECO:0000269|PubMed:10026301, ECO:0000269|PubMed:11524675"; BINDING 47; /ligand="Cu cation"; /ligand_id="ChEBI:CHEBI:23378"; /ligand_note="catalytic"; /evidence="ECO:0000269|PubMed:10026301, ECO:0000269|PubMed:8652572"; BINDING 49; /ligand="Cu cation"; /ligand_id="ChEBI:CHEBI:23378"; /ligand_note="catalytic"; /evidence="ECO:0000269|PubMed:10026301, ECO:0000269|PubMed:8652572"; BINDING 64; /ligand="Cu cation"; /ligand_id="ChEBI:CHEBI:23378"; /ligand_note="catalytic"; /evidence="ECO:0000269|PubMed:10026301, ECO:0000269|PubMed:8652572"; BINDING 64; /ligand="Zn(2+)"; /ligand_id="ChEBI:CHEBI:29105"; /ligand_label="1"; /ligand_note="structural"; /evidence="ECO:0000269|PubMed:10026301, ECO:0000269|PubMed:11524675"; BINDING 72; /ligand="Zn(2+)"; /ligand_id="ChEBI:CHEBI:29105"; /ligand_label="1"; /ligand_note="structural"; /evidence="ECO:0000269|PubMed:10026301, ECO:0000269|PubMed:11524675"; BINDING 81; /ligand="Zn(2+)"; /ligand_id="ChEBI:CHEBI:29105"; /ligand_label="1"; /ligand_note="structural"; /evidence="ECO:0000269|PubMed:10026301, ECO:0000269|PubMed:11524675"; BINDING 84; /ligand="Zn(2+)"; /ligand_id="ChEBI:CHEBI:29105"; /ligand_label="1"; /ligand_note="structural"; /evidence="ECO:0000269|PubMed:10026301, ECO:0000269|PubMed:11524675"; BINDING 121; /ligand="Cu cation"; /ligand_id="ChEBI:CHEBI:23378"; /ligand_note="catalytic"; /evidence="ECO:0000269|PubMed:10026301, ECO:0000269|PubMed:8652572"; BINDING 144; /ligand="substrate"; /evidence="ECO:0000305"	5.0	1.15.1.1	Evidence at protein level	YJR104C	SOD1
P00546	CDK1_YEAST	298		CATALYTIC ACTIVITY: Reaction=ATP + L-seryl-[protein] = ADP + H(+) + O-phospho-L-seryl-[protein]; Xref=Rhea:RHEA:17989, Rhea:RHEA-COMP:9863, Rhea:RHEA-COMP:11604, ChEBI:CHEBI:15378, ChEBI:CHEBI:29999, ChEBI:CHEBI:30616, ChEBI:CHEBI:83421, ChEBI:CHEBI:456216; EC=2.7.11.22; Evidence={ECO:0000250|UniProtKB:P24941}; CATALYTIC ACTIVITY: Reaction=ATP + L-threonyl-[protein] = ADP + H(+) + O-phospho-L-threonyl-[protein]; Xref=Rhea:RHEA:46608, Rhea:RHEA-COMP:11060, Rhea:RHEA-COMP:11605, ChEBI:CHEBI:15378, ChEBI:CHEBI:30013, ChEBI:CHEBI:30616, ChEBI:CHEBI:61977, ChEBI:CHEBI:456216; EC=2.7.11.22; Evidence={ECO:0000250|UniProtKB:P04551};	BINDING 14..22; /ligand="ATP"; /ligand_id="ChEBI:CHEBI:30616"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; BINDING 40; /ligand="ATP"; /ligand_id="ChEBI:CHEBI:30616"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"	5.0	2.7.11.22	Evidence at protein level	YBR160W	CDC28
P00549	KPYK1_YEAST	500	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000269|PubMed:10413488}; COFACTOR: Name=K(+); Xref=ChEBI:CHEBI:29103; Evidence={ECO:0000305|PubMed:9519410};	CATALYTIC ACTIVITY: Reaction=ATP + pyruvate = ADP + H(+) + phosphoenolpyruvate; Xref=Rhea:RHEA:18157, ChEBI:CHEBI:15361, ChEBI:CHEBI:15378, ChEBI:CHEBI:30616, ChEBI:CHEBI:58702, ChEBI:CHEBI:456216; EC=2.7.1.40; Evidence={ECO:0000269|PubMed:10413488};	BINDING 49; /ligand="substrate"; /evidence="ECO:0000269|PubMed:9519410, ECO:0007744|PDB:1A3X"; BINDING 51..54; /ligand="ATP"; /ligand_id="ChEBI:CHEBI:30616"; /evidence="ECO:0000250|UniProtKB:P14618"; BINDING 51; /ligand="K(+)"; /ligand_id="ChEBI:CHEBI:29103"; /evidence="ECO:0000269|PubMed:9519410, ECO:0007744|PDB:1A3W, ECO:0007744|PDB:1A3X"; BINDING 53; /ligand="K(+)"; /ligand_id="ChEBI:CHEBI:29103"; /evidence="ECO:0000269|PubMed:9519410, ECO:0007744|PDB:1A3W, ECO:0007744|PDB:1A3X"; BINDING 84; /ligand="K(+)"; /ligand_id="ChEBI:CHEBI:29103"; /evidence="ECO:0000269|PubMed:9519410, ECO:0007744|PDB:1A3W, ECO:0007744|PDB:1A3X"; BINDING 85; /ligand="K(+)"; /ligand_id="ChEBI:CHEBI:29103"; /evidence="ECO:0000269|PubMed:9519410, ECO:0007744|PDB:1A3W, ECO:0007744|PDB:1A3X"; BINDING 91; /ligand="ATP"; /ligand_id="ChEBI:CHEBI:30616"; /evidence="ECO:0000250|UniProtKB:P14618"; BINDING 177; /ligand="ATP"; /ligand_id="ChEBI:CHEBI:30616"; /evidence="ECO:0000250|UniProtKB:P14618"; BINDING 240; /ligand="substrate"; /evidence="ECO:0000269|PubMed:9519410, ECO:0007744|PDB:1A3X"; BINDING 242; /ligand="Mn(2+)"; /ligand_id="ChEBI:CHEBI:29035"; /evidence="ECO:0000269|PubMed:9519410, ECO:0007744|PDB:1A3W, ECO:0007744|PDB:1A3X"; BINDING 265; /ligand="substrate"; /evidence="ECO:0000269|PubMed:9519410, ECO:0007744|PDB:1A3W, ECO:0007744|PDB:1A3X"; BINDING 266; /ligand="Mn(2+)"; /ligand_id="ChEBI:CHEBI:29035"; /evidence="ECO:0000269|PubMed:9519410, ECO:0007744|PDB:1A3W, ECO:0007744|PDB:1A3X"; BINDING 266; /ligand="substrate"; /evidence="ECO:0000269|PubMed:9519410, ECO:0007744|PDB:1A3W"; BINDING 298; /ligand="substrate"; /evidence="ECO:0000269|PubMed:9519410, ECO:0007744|PDB:1A3W, ECO:0007744|PDB:1A3X"; BINDING 402..407; /ligand="beta-D-fructose 1,6-bisphosphate"; /ligand_id="ChEBI:CHEBI:32966"; /ligand_note="allosteric activator"; /evidence="ECO:0000269|PubMed:9519410, ECO:0007744|PDB:1A3W"; BINDING 452; /ligand="beta-D-fructose 1,6-bisphosphate"; /ligand_id="ChEBI:CHEBI:32966"; /ligand_note="allosteric activator"; /evidence="ECO:0000269|PubMed:9519410, ECO:0007744|PDB:1A3W, ECO:0007744|PDB:1A3X"; BINDING 459; /ligand="beta-D-fructose 1,6-bisphosphate"; /ligand_id="ChEBI:CHEBI:32966"; /ligand_note="allosteric activator"; /evidence="ECO:0000269|PubMed:9519410, ECO:0007744|PDB:1A3W, ECO:0007744|PDB:1A3X"; BINDING 484; /ligand="beta-D-fructose 1,6-bisphosphate"; /ligand_id="ChEBI:CHEBI:32966"; /ligand_note="allosteric activator"; /evidence="ECO:0000269|PubMed:9519410, ECO:0007744|PDB:1A3W, ECO:0007744|PDB:1A3X"	5.0	2.7.1.40	Evidence at protein level	YAL038W	CDC19
P00560	PGK_YEAST	416		CATALYTIC ACTIVITY: Reaction=(2R)-3-phosphoglycerate + ATP = (2R)-3-phospho-glyceroyl phosphate + ADP; Xref=Rhea:RHEA:14801, ChEBI:CHEBI:30616, ChEBI:CHEBI:57604, ChEBI:CHEBI:58272, ChEBI:CHEBI:456216; EC=2.7.2.3;	BINDING 24..26; /ligand="substrate"; BINDING 39; /ligand="substrate"; /evidence="ECO:0000269|PubMed:6765200, ECO:0000269|PubMed:8672447"; BINDING 63..66; /ligand="substrate"; BINDING 122; /ligand="substrate"; /evidence="ECO:0000269|PubMed:6765200, ECO:0000269|PubMed:8672447"; BINDING 169; /ligand="substrate"; /evidence="ECO:0000269|PubMed:6765200, ECO:0000269|PubMed:8672447"; BINDING 218; /ligand="ATP"; /ligand_id="ChEBI:CHEBI:30616"; BINDING 311; /ligand="ATP"; /ligand_id="ChEBI:CHEBI:30616"; BINDING 335; /ligand="ATP"; /ligand_id="ChEBI:CHEBI:30616"; BINDING 342; /ligand="ATP"; /ligand_id="ChEBI:CHEBI:30616"; BINDING 371..374; /ligand="ATP"; /ligand_id="ChEBI:CHEBI:30616"	5.0	2.7.2.3	Evidence at protein level	YCR012W	PGK1
P00572	KTHY_YEAST	216		CATALYTIC ACTIVITY: Reaction=ATP + dTMP = ADP + dTDP; Xref=Rhea:RHEA:13517, ChEBI:CHEBI:30616, ChEBI:CHEBI:58369, ChEBI:CHEBI:63528, ChEBI:CHEBI:456216; EC=2.7.4.9; Evidence={ECO:0000269|PubMed:6088527}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:13518; Evidence={ECO:0000269|PubMed:6088527};	BINDING 12..19; /ligand="ATP"; /ligand_id="ChEBI:CHEBI:30616"; /evidence="ECO:0000305"	5.0	2.7.4.9	Evidence at protein level	YJR057W	CDC8
P00635	PPA5_YEAST	467		CATALYTIC ACTIVITY: Reaction=a phosphate monoester + H2O = an alcohol + phosphate; Xref=Rhea:RHEA:15017, ChEBI:CHEBI:15377, ChEBI:CHEBI:30879, ChEBI:CHEBI:43474, ChEBI:CHEBI:67140; EC=3.1.3.2; Evidence={ECO:0000269|PubMed:3537710, ECO:0000269|PubMed:6300772};		5.0	3.1.3.2	Evidence at protein level	YBR093C	PHO5
P00724	INV2_YEAST	532		CATALYTIC ACTIVITY: Reaction=Hydrolysis of terminal non-reducing beta-D-fructofuranoside residues in beta-D-fructofuranosides.; EC=3.2.1.26; Evidence={ECO:0000255|PROSITE-ProRule:PRU10067};	BINDING 39..42; /ligand="substrate"; /evidence="ECO:0000250"; BINDING 60; /ligand="substrate"; /evidence="ECO:0000250"; BINDING 102..103; /ligand="substrate"; /evidence="ECO:0000250"; BINDING 170..171; /ligand="substrate"; /evidence="ECO:0000250"; BINDING 223; /ligand="substrate"; /evidence="ECO:0000250"; BINDING 311; /ligand="substrate"; /evidence="ECO:0000250"	5.0	3.2.1.26	Evidence at protein level	YIL162W	SUC2
P00729	CBPY_YEAST	532		CATALYTIC ACTIVITY: Reaction=Release of a C-terminal amino acid with broad specificity.; EC=3.4.16.5; Evidence={ECO:0000269|PubMed:8679540};	BINDING 452; /ligand="substrate"; /evidence="ECO:0000305|Ref.5"; BINDING 509; /ligand="substrate"; /evidence="ECO:0000305|Ref.5"	5.0	3.4.16.5	Evidence at protein level	YMR297W	PRC1
P00812	ARGI_YEAST	333	COFACTOR: Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000255|PROSITE-ProRule:PRU00742}; Note=Binds 2 manganese ions per subunit. {ECO:0000255|PROSITE-ProRule:PRU00742};	CATALYTIC ACTIVITY: Reaction=H2O + L-arginine = L-ornithine + urea; Xref=Rhea:RHEA:20569, ChEBI:CHEBI:15377, ChEBI:CHEBI:16199, ChEBI:CHEBI:32682, ChEBI:CHEBI:46911; EC=3.5.3.1; Evidence={ECO:0000250|UniProtKB:P05089};	BINDING 123; /ligand="Mn(2+)"; /ligand_id="ChEBI:CHEBI:29035"; /ligand_label="1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00742"; BINDING 146; /ligand="Mn(2+)"; /ligand_id="ChEBI:CHEBI:29035"; /ligand_label="1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00742"; BINDING 146; /ligand="Mn(2+)"; /ligand_id="ChEBI:CHEBI:29035"; /ligand_label="2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00742"; BINDING 148..152; /ligand="substrate"; /evidence="ECO:0000250|UniProtKB:P53608"; BINDING 148; /ligand="Mn(2+)"; /ligand_id="ChEBI:CHEBI:29035"; /ligand_label="2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00742"; BINDING 150; /ligand="Mn(2+)"; /ligand_id="ChEBI:CHEBI:29035"; /ligand_label="1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00742"; BINDING 159..161; /ligand="substrate"; /evidence="ECO:0000250|UniProtKB:P53608"; BINDING 205; /ligand="substrate"; /evidence="ECO:0000250|UniProtKB:P53608"; BINDING 256; /ligand="Mn(2+)"; /ligand_id="ChEBI:CHEBI:29035"; /ligand_label="1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00742"; BINDING 256; /ligand="Mn(2+)"; /ligand_id="ChEBI:CHEBI:29035"; /ligand_label="2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00742"; BINDING 258; /ligand="Mn(2+)"; /ligand_id="ChEBI:CHEBI:29035"; /ligand_label="2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00742"; BINDING 270; /ligand="substrate"; /evidence="ECO:0000250|UniProtKB:P53608"; BINDING 301; /ligand="substrate"; /evidence="ECO:0000250|UniProtKB:P53608"	5.0	3.5.3.1	Evidence at protein level	YPL111W	CAR1
P00815	HIS2_YEAST	799	COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Evidence={ECO:0000250|UniProtKB:P9WNW9}; Note=Binds 1 zinc ion. {ECO:0000250|UniProtKB:P9WNW9};	CATALYTIC ACTIVITY: Reaction=1-(5-phospho-beta-D-ribosyl)-5'-AMP + H2O = 1-(5-phospho-beta-D-ribosyl)-5-[(5-phospho-beta-D-ribosylamino)methylideneamino]imidazole-4-carboxamide; Xref=Rhea:RHEA:20049, ChEBI:CHEBI:15377, ChEBI:CHEBI:58435, ChEBI:CHEBI:59457; EC=3.5.4.19; Evidence={ECO:0000250|UniProtKB:Q50837}; CATALYTIC ACTIVITY: Reaction=1-(5-phospho-beta-D-ribosyl)-ATP + H2O = 1-(5-phospho-beta-D-ribosyl)-5'-AMP + diphosphate + H(+); Xref=Rhea:RHEA:22828, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:33019, ChEBI:CHEBI:59457, ChEBI:CHEBI:73183; EC=3.6.1.31; Evidence={ECO:0000250|UniProtKB:O82768}; CATALYTIC ACTIVITY: Reaction=H2O + L-histidinol + 2 NAD(+) = 3 H(+) + L-histidine + 2 NADH; Xref=Rhea:RHEA:20641, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:57540, ChEBI:CHEBI:57595, ChEBI:CHEBI:57699, ChEBI:CHEBI:57945; EC=1.1.1.23; Evidence={ECO:0000250|UniProtKB:P9WNW9};	BINDING 618; /ligand="Zn(2+)"; /ligand_id="ChEBI:CHEBI:29105"; /evidence="ECO:0000250"; BINDING 621; /ligand="Zn(2+)"; /ligand_id="ChEBI:CHEBI:29105"; /evidence="ECO:0000250"; BINDING 721; /ligand="Zn(2+)"; /ligand_id="ChEBI:CHEBI:29105"; /evidence="ECO:0000250"; BINDING 780; /ligand="Zn(2+)"; /ligand_id="ChEBI:CHEBI:29105"; /evidence="ECO:0000250"	5.0	1.1.1.23; 3.5.4.19; 3.6.1.31	Evidence at protein level	YCL030C	HIS4
P00817	IPYR_YEAST	287	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250};	CATALYTIC ACTIVITY: Reaction=diphosphate + H2O = H(+) + 2 phosphate; Xref=Rhea:RHEA:24576, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:33019, ChEBI:CHEBI:43474; EC=3.6.1.1;	BINDING 79; /ligand="diphosphate"; /ligand_id="ChEBI:CHEBI:33019"; BINDING 116; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /ligand_label="1"; BINDING 121; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /ligand_label="1"; BINDING 121; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /ligand_label="2"; BINDING 153; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /ligand_label="1"	5.0	3.6.1.1	Evidence at protein level	YBR011C	IPP1
P00830	ATPB_YEAST	511		CATALYTIC ACTIVITY: Reaction=ATP + 4 H(+)(in) + H2O = ADP + 5 H(+)(out) + phosphate; Xref=Rhea:RHEA:57720, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:30616, ChEBI:CHEBI:43474, ChEBI:CHEBI:456216; EC=7.1.2.2;	BINDING 190..197; /ligand="ATP"; /ligand_id="ChEBI:CHEBI:30616"; /evidence="ECO:0000250"	5.0	7.1.2.2	Evidence at protein level	YJR121W	ATP2
P00854	ATP6_YEAST	259				5.0		Evidence at protein level	Q0085	ATP6
P00890	CISY1_YEAST	479		CATALYTIC ACTIVITY: Reaction=acetyl-CoA + H2O + oxaloacetate = citrate + CoA + H(+); Xref=Rhea:RHEA:16845, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:16452, ChEBI:CHEBI:16947, ChEBI:CHEBI:57287, ChEBI:CHEBI:57288; EC=2.3.3.1; Evidence={ECO:0000269|PubMed:17570335, ECO:0000269|PubMed:28076776};		5.0	2.3.3.1	Evidence at protein level	YNR001C	CIT1
